event, shooter, shooter_name, shooter_offensive_rating, dist, x, y, shot_angle, shooter_velocity, fg_percentage_zone, closest_defender, closest_defender_name, closest_defender_defensive_rating, closest_defender_dist, closest_defender_angle, closest_defender_velocity, num_close_defenders, shot_clock, score_margin, quarter, make
385, 202691, Klay Thompson, 104.37388483373884, 81.29024555815107, 50.15186, -46.59607, 1.0774354020426367, 0.012937326271870985,39.8876404494382, 203914, Gary Harris, 111.0, 9.43493906932101, 1.0651753443031815, 0.00657190751697407,1, 24, 18, 3, 1
386, 201568, Danilo Gallinari, 120.0, 65.10561584491003, 47.48285, -25.43815, 0.8862606674207911, 0.010124479361031042,37.25490196078432, 2733, Shaun Livingston, 106.0, 19.54333609012545, 2.7571360226236377, 0.006892067162179662,0, 24, -15, 3, 1
390, 201578, Marreese Speights, 102.0, 44.33211452350993, 68.0387, -14.249339999999997, 1.0872415467054397, 0.0056842899842458414,46.80851063829788, 200751, Randy Foye, 110.66666666666669, 13.913100561790671, 1.8158270540350434, 0.003306019065658805,0, 23, -15, 3, 0
392, 203115, Will Barton, 105.0, 71.99348533269522, 49.07919, -35.14327, 0.988857914149604, 0.003721585971273906,42.10526315789473, 203546, Ian Clark, 106.0, 19.863502403614525, 1.7245075919254647, 0.006359604988500033,0, 23, 15, 3, 0
393, 201568, Danilo Gallinari, 120.0, 55.65928180091799, 70.41836, -27.58862, 1.237078560089154, 0.005075422840875854,50.43103448275862, 201578, Marreese Speights, 103.0, 16.96449374714436, 0.8812992379225734, 0.007586304302390639,0, 23, -13, 3, 1
395, 203546, Ian Clark, 102.0, 59.304284912108166, 83.50714, -34.080870000000004, 1.4839673914812106, 0.0083204407109842,25.0, 203115, Will Barton, 108.0, 5.485670649036443, 0.7426611071789252, 0.004255525973660532,2, 2, 15, 3, 1
396, 2749, Jameer Nelson, 99.0, 46.28496005511078, 25.97266, -16.43674, 1.1089982532620923, 0.0009479031134561767,38.46153846153847, 203546, Ian Clark, 106.0, 3.4520473384065893, 1.0967878044243666, 0.005630464157154348,1, 24, -13, 3, 1
397, 201578, Marreese Speights, 102.0, 65.63554316280167, 22.37622, -38.38874, 1.3083897608487278, 0.008001259485924396,0.0, 203115, Will Barton, 108.0, 5.404424188384917, 0.5574604289607412, 0.011844621068024757,1, 24, -13, 3, 0
402, 203546, Ian Clark, 102.0, 62.357511686850536, 59.38381, -30.06314, 1.0822655662682112, 0.009321022533096999,50.0, 201589, Darrell Arthur, 108.0, 2.5072484970181974, 0.23973754758793772, 0.0072847867376129635,1, 4, -13, 4, 0
405, 2738, Andre Iguodala, 115.0, 52.0269566809678, 58.00697, -17.045319999999997, 0.9409956214817443, 0.012467335654120334,33.33333333333333, 203115, Will Barton, 108.0, 7.681734487112921, 1.2026670887624968, 0.007482988611677693,1, 13, -13, 4, 0
