,quarter,universe_time,quarter_time,shot_clock,positions,game_time
9718,1,1451082521619,387.12,24.0,"[[-1, -1, 5.94203, 23.16742, 9.36462], [1610612744, 101106, 2.83151, 27.02302, 0.0], [1610612744, 201575, 9.77273, 46.28799, 0.0], [1610612744, 201939, 42.19579, 24.10748, 0.0], [1610612744, 202691, 30.72804, 38.59133, 0.0], [1610612744, 203110, 2.04933, 17.71398, 0.0], [1610612739, 2544, 7.15064, 26.78926, 0.0], [1610612739, 2747, 24.06503, 37.9923, 0.0], [1610612739, 201567, 6.54024, 24.24913, 0.0], [1610612739, 202681, 32.55276, 18.16959, 0.0], [1610612739, 202389, 3.97498, 24.60389, 0.0]]",332.88
9870,1,1451082527699,381.04,17.93,"[[-1, -1, 6.47339, 28.55338, 3.4019], [1610612744, 101106, 9.68118, 20.87641, 0.0], [1610612744, 201575, 8.88153, 26.3361, 0.0], [1610612744, 201939, 45.54648, 24.86931, 0.0], [1610612744, 202691, 10.26141, 14.65787, 0.0], [1610612744, 203110, 31.37963, 11.4988, 0.0], [1610612739, 2544, 9.2702, 28.23963, 0.0], [1610612739, 2747, 13.98185, 30.31063, 0.0], [1610612739, 201567, 2.89157, 17.27388, 0.0], [1610612739, 202681, 19.64459, 35.54635, 0.0], [1610612739, 202389, 6.66637, 28.26795, 0.0]]",338.96
9871,1,1451082527739,381.0,24.0,"[[-1, -1, 5.80501, 27.22622, 2.01857], [1610612744, 101106, 9.9965, 20.84907, 0.0], [1610612744, 201575, 9.00209, 26.09106, 0.0], [1610612744, 201939, 45.70266, 24.94206, 0.0], [1610612744, 202691, 10.63814, 14.61082, 0.0], [1610612744, 203110, 31.85279, 11.63481, 0.0], [1610612739, 2544, 9.35095, 28.31822, 0.0], [1610612739, 2747, 14.10629, 30.60656, 0.0], [1610612739, 201567, 2.87803, 17.07826, 0.0], [1610612739, 202681, 19.60904, 35.71817, 0.0], [1610612739, 202389, 6.66556, 28.43581, 0.0]]",339.0
10622,1,1451082557779,350.95,0.65,"[[-1, -1, 89.19405, 22.02492, 10.32385], [1610612744, 101106, 88.75061, 23.75454, 0.0], [1610612744, 201575, 86.47908, 32.81315, 0.0], [1610612744, 201939, 79.13932, 33.82132, 0.0], [1610612744, 202691, 83.75869, 24.45552, 0.0], [1610612744, 203110, 92.1222, 51.74838, 0.0], [1610612739, 2544, 66.21423, 33.63697, 0.0], [1610612739, 2747, 60.39467, 28.19866, 0.0], [1610612739, 201567, 89.19162, 47.2858, 0.0], [1610612739, 202681, 67.62902, 40.84722, 0.0], [1610612739, 202389, 88.39295, 21.60541, 0.0]]",369.05
11226,1,1451082787696,334.0,24.0,"[[-1, -1, 43.95888, 3.49686, 4.4459], [1610612744, 2738, 4.29467, 2.17286, 0.0], [1610612744, 101106, 25.62476, 16.05275, 0.0], [1610612744, 201939, 37.79995, 8.83319, 0.0], [1610612744, 202691, 11.21958, 47.74475, 0.0], [1610612744, 203110, 38.77734, 0.4931, 0.0], [1610612739, 2544, 4.70871, 10.74091, 0.0], [1610612739, 2747, 8.99489, 40.77959, 0.0], [1610612739, 201567, 23.67131, 11.85089, 0.0], [1610612739, 203521, 36.97699, 8.07449, 0.0], [1610612739, 202389, 19.38349, 17.03285, 0.0]]",386.0
11495,1,1451082798456,325.31,12.24,"[[-1, -1, 8.21072, 26.51147, 2.95993], [1610612744, 2738, 18.15042, 16.01721, 0.0], [1610612744, 101106, 16.86478, 28.10488, 0.0], [1610612744, 201939, 11.36349, 5.85924, 0.0], [1610612744, 202691, 38.19991, 24.13016, 0.0], [1610612744, 203110, 24.88429, 9.3239, 0.0], [1610612739, 2544, 32.97927, 3.38672, 0.0], [1610612739, 2747, 29.55726, 25.08578, 0.0], [1610612739, 201567, 8.35702, 22.00241, 0.0], [1610612739, 203521, 6.59674, 9.22398, 0.0], [1610612739, 202389, 12.34897, 27.51046, 0.0]]",394.69
11496,1,1451082798496,325.27,24.0,"[[-1, -1, 8.56595, 26.28175, 3.4987], [1610612744, 2738, 18.78236, 16.23123, 0.0], [1610612744, 101106, 17.28574, 28.01338, 0.0], [1610612744, 201939, 11.82448, 5.89383, 0.0], [1610612744, 202691, 38.52239, 24.20098, 0.0], [1610612744, 203110, 25.11227, 9.37024, 0.0], [1610612739, 2544, 33.58529, 3.37085, 0.0], [1610612739, 2747, 29.79998, 25.22142, 0.0], [1610612739, 201567, 8.25313, 22.13726, 0.0], [1610612739, 203521, 6.79023, 9.23014, 0.0], [1610612739, 202389, 12.41646, 27.52143, 0.0]]",394.73
12269,1,1451082829415,295.01,16.01,"[[-1, -1, 10.14047, 29.49433, 4.35948], [1610612744, 2738, 11.14763, 4.53736, 0.0], [1610612744, 101106, 2.92755, 22.09079, 0.0], [1610612744, 201939, 2.78936, 26.45187, 0.0], [1610612744, 202691, 9.11918, 45.38354, 0.0], [1610612744, 203110, 28.4658, 35.96166, 0.0], [1610612739, 2544, 7.52623, 18.18616, 0.0], [1610612739, 2747, 11.55635, 43.12855, 0.0], [1610612739, 201567, 10.43632, 29.22093, 0.0], [1610612739, 203521, 7.46522, 28.46718, 0.0], [1610612739, 202389, 3.75672, 24.80304, 0.0]]",424.99
12270,1,1451082851416,295.0,24.0,"[[-1, -1, 18.59594, 25.03464, 3.04082], [1610612744, 2738, 32.07332, 26.97958, 0.0], [1610612744, 101106, 10.52315, 12.98366, 0.0], [1610612744, 201939, 19.76907, 25.20171, 0.0], [1610612744, 202691, 35.60649, 34.28426, 0.0], [1610612744, 203110, 9.54385, 33.52479, 0.0], [1610612739, 2544, 11.84083, 16.08147, 0.0], [1610612739, 2747, 27.79637, 34.68846, 0.0], [1610612739, 201567, 6.53349, 33.45676, 0.0], [1610612739, 203521, 29.15281, 18.64311, 0.0], [1610612739, 202389, 6.67622, 16.23907, 0.0]]",425.0
13663,1,1451082923975,251.74,13.4,"[[-1, -1, 8.33747, 28.13796, 10.46541], [1610612744, 2738, 15.50535, 4.22181, 0.0], [1610612744, 101106, 28.02282, 31.13324, 0.0], [1610612744, 201939, 22.32393, 22.0816, 0.0], [1610612744, 202691, 16.56438, 46.38251, 0.0], [1610612744, 203110, 34.11355, 20.37389, 0.0], [1610612739, 2544, 7.38801, 14.35543, 0.0], [1610612739, 2747, 10.95877, 38.96199, 0.0], [1610612739, 201567, 8.05953, 27.23044, 0.0], [1610612739, 203521, 12.25997, 20.7808, 0.0], [1610612739, 202684, 8.81235, 21.51817, 0.0]]",468.26
14076,1,1451082977293,242.08,24.0,"[[-1, -1, 79.51407, 18.02077, 3.83795], [1610612744, 2738, 54.53124, 10.54336, 0.0], [1610612744, 101106, 51.50071, 32.80874, 0.0], [1610612744, 2733, 78.9605, 18.88388, 0.0], [1610612744, 201939, 63.93505, 41.8783, 0.0], [1610612744, 203110, 92.91397, 24.5856, 0.0], [1610612739, 2544, 23.39624, 20.01991, 0.0], [1610612739, 2747, 44.6955, 24.02818, 0.0], [1610612739, 202697, 63.66044, 24.74717, 0.0], [1610612739, 203521, 63.60931, 38.17832, 0.0], [1610612739, 202684, 49.48047, 27.67779, 0.0]]",477.91999999999996
14556,1,1451082996493,223.12,4.75,"[[-1, -1, 7.27592, 28.20054, 11.34284], [1610612744, 2738, 16.04003, 3.58475, 0.0], [1610612744, 101106, 2.64519, 28.69205, 0.0], [1610612744, 2733, 2.67652, 16.45614, 0.0], [1610612744, 201939, 7.72224, 27.90558, 0.0], [1610612744, 203110, 40.5027, 27.56989, 0.0], [1610612739, 2544, 20.68632, 2.11778, 0.0], [1610612739, 2747, 7.06423, 18.61966, 0.0], [1610612739, 202697, 12.56003, 24.24114, 0.0], [1610612739, 203521, 8.32904, 29.2662, 0.0], [1610612739, 202684, 6.78633, 25.9721, 0.0]]",496.88
