,shot_clock,pass_successful,backcourt,dist,passer_basket_dist,ball_end_basket_dist,basket_angle,closest_def_dist_passer,closest_def_dist_ball_end,closest_def_trajectory,closest_def_angle_passer,closest_def_angle_ball_end,closest_def_trajectory_angle
90,22.75,1,0,13.099581831127283,5.719119597455538,8.157531339051049,0.6835408048770139,6.814413059310391,6.7007110757963595,1.6627314139634335,2.895102048363036,2.8908303092299015,2.8908303092299015
91,14.05,1,1,13.094518060417496,17.92646931950907,21.42893815137139,2.486165807488248,5.498186203003673,13.06611761848178,0.30664304027633454,1.4684336569814322,2.3174755701150285,3.0887840341826664
92,12.06,1,1,15.186283886626123,8.227019024968888,23.410569949490775,3.120833073059575,3.5662121269632854,21.063263202196385,0.8711791151389665,2.861592345813377,3.1002207313005847,3.1002207313005847
93,9.41,0,0,0.0,25.566041930654812,25.566041930654812,3.141592653589793,62.1014246500972,62.1014246500972,100000.0,,,
94,22.99,1,0,4.987873077104111,1.6899233066917552,6.493849562193448,2.733641162478009,2.416360858667427,9.182775168542465,0.9807457261402263,0.8097891557872592,2.6729488694451495,0.2660131814418084
95,22.72,1,0,28.298079042242428,5.3761654694214895,30.814025229800798,2.136620860468619,6.109132239762042,25.230174557257826,1.1085420599529952,1.8379533944075286,2.820086921969312,3.040621208219162
96,20.17,1,1,11.999963723028497,13.131720499629894,12.553408874214208,2.170321688013695,6.021670782515428,3.4370027931324123,0.10387809596522868,2.5143022696318793,3.111364596348831,3.111364596348831
97,19.03,0,0,0.0,25.566041930654812,25.566041930654812,3.141592653589793,19.490886628437405,19.490886628437405,100000.0,,,
98,23.13,1,0,17.865826422961803,20.084840403132418,22.595049207445868,2.2853402928516537,10.413109954768558,7.65799989125751,1.3418101673421234,3.0123755892281663,2.9654666921346036,2.9654666921346036
99,17.77,1,1,18.529184336837385,30.675680066966727,27.34859264585657,2.501390183341179,4.688534533113728,16.645833295071174,0.5484677271786791,2.103420725656269,2.8964988806895926,3.0337529649900183
100,16.07,1,1,11.89045894187857,21.95093006497219,10.193116893139212,3.023119359910869,3.465504660637469,9.699432153739725,0.3517959925219849,2.37418744504018,2.8909202922895743,0.041559191821200325
101,14.96,1,1,9.050068397271923,14.016216147334486,5.363753723475752,2.8344053647202085,3.2115963769128895,3.0203447745249212,0.30923886309452076,2.7203312615242994,2.630030735040112,0.2061425512695911
102,22.41,1,1,35.52903298966916,10.182377916798218,38.303892662371794,1.9774744955669432,4.155365454638136,34.36156179766717,0.10628304567135412,1.9088075280341534,2.614985954812844,3.13709948327312
103,19.21,1,1,13.001996357932882,33.50108817164153,22.6631339304519,2.8801758947460736,2.3810044037338494,10.910289880681448,0.7716482107748469,2.6891822933294733,3.0460493822543286,2.99748944391983
104,18.41,1,1,4.169028383508559,26.861693482215525,30.927959779623354,3.1096749136084534,2.4658200020480003,2.3189444292608634,0.5987015775362647,2.645700206371405,2.6111053658791965,3.1233319779134994
105,15.85,1,1,18.673149344748996,6.101347540355328,22.735874058467598,2.40469816925602,2.7154287897125946,10.537469498987882,2.033379270983941,1.132786980373628,2.571790599522551,2.8755994717354065
106,14.65,1,1,7.805059893434517,23.415696566348394,15.677232787485169,3.0884844048599738,4.685229109552704,2.1828741815551322,0.46535306539483234,2.554926566372511,2.9267602978866636,2.9267602978866636
107,13.77,1,1,15.971132794116393,18.07717939319351,6.599896861754735,2.0749453043904516,4.401081266336712,19.806295414549382,0.9155807086199251,0.5767156585873146,3.0201310221355806,0.42244937825129086
108,13.05,1,1,4.67178436955303,4.879790101817905,9.033056560710778,2.8179846756744884,2.410544350909144,2.450191378688612,1.79414367778321,1.813593271123489,2.3199781228096064,2.3199781228096064
109,9.53,1,1,5.149094396221534,11.032190795757659,8.977539777600542,2.6626092686000224,1.3226478657979985,4.083214722066426,0.6948356048444972,2.588481763362928,2.9705917245192746,2.9705917245192746
110,8.09,1,1,21.91973737612976,22.16608217413488,31.886534165035876,2.384661569203068,4.5835918273882115,18.49617810870127,1.5439583077375123,2.4867458847986694,2.9900862887740214,2.9734862273687015
111,6.6,1,1,22.919986834119257,22.38060292963083,26.821477677115407,2.1881264040579222,4.416389070020894,12.1532770307436,0.41977638882748525,2.0140516311375363,2.0154491291667225,3.0980609480015833
112,0.64,1,1,25.358276462697535,16.76738814323805,27.81172269410509,2.027857787627601,3.734461239282047,27.16829566094458,0.8870833775745893,1.1281371165187455,3.017063098083159,3.005285178441052
